"DIA","SEM_COMPROMISSO","DURACAO_DIA","INICIO","FIM","DURACAO_COMPROMISSO","TITULO","LOCAL"
"21-11-2019","Não","495","07:45","08:10","25","""Onyx Lorenzoni, Ministro-Chefe da Casa Civil da Presidência da República""","""Palácio da Alvorada"""
"21-11-2019","Não","495","08:30","09:20","50","""Onyx Lorenzoni, Ministro-Chefe da Casa Civil da Presidência da República; Ernesto Araújo, Ministro de Estado das Relações Exteriores; Marcos Montes Cordeiro, Ministro de Estado da Agricultura, Pecuária e Abastecimento, Substituto; Bento Albuquerque, Ministro de Estado de Minas e Energia; Ricardo Salles, Ministro de Estado do Meio Ambiente; e Luiz Eduardo Ramos, Ministro-Chefe da Secretaria de Governo da Presidência da República""","""Palácio do Planalto"""
"21-11-2019","Não","495","10:30","12:30","120","""Convenção Nacional da Aliança pelo Brasil""","""Brasília/DF"""
"21-11-2019","Não","495","12:40","13:40","60","""General Décio dos Santos Brasil, Secretário Especial do Esporte do Ministério da Cidadania; Diego Hypolito, ginasta; Mosiah Rodrigues, ginasta; e Cuiabano Lima, locutor de rodeio, narrador e apresentador""","""Palácio do Planalto"""
"21-11-2019","Não","495","13:40","14:10","30","""Sérgio Moro, Ministro de Estado da Justiça e Segurança Pública""","""Palácio do Planalto"""
"21-11-2019","Não","495","14:10","14:45","35","""Bento Albuquerque, Ministro de Estado de Minas e Energia; e Ricardo Perez Botelho, Presidente da Energisa SA""","""Palácio do Planalto"""
"21-11-2019","Não","495","15:00","16:00","60","""Paulo Guedes, Ministro de Estado da Economia; Tarcísio Gomes de Freitas, Ministro de Estado da Infraestrutura; Jorge Antonio de Oliveira Francisco, Ministro-Chefe da Secretaria-Geral da Presidência da República; Luiz Eduardo Ramos, Ministro-Chefe da Secretaria de Governo da Presidência da República; e José Vicente Santini, Secretário Executivo da Casa Civil da Presidência da República""","""Palácio do Planalto"""
"21-11-2019","Não","495","16:00","16:30","30","""Fernando Azevedo, Ministro de Estado da Defesa; Jorge Antonio de Oliveira, Ministro-Chefe da Secretaria-Geral da Presidência da República; Luiz Eduardo Ramos, Ministro-Chefe da Secretaria de Governo da Presidência da República; Augusto Heleno, Ministro-Chefe do Gabinete de Segurança Institucional da Presidência da República; Almirante de Esquadra Ilques Barbosa Junior, Comandante da Marinha; General de Exército Edson Leal Pujol, Comandante do Exército Brasileiro; Tenente-Brigadeiro do Ar Antonio Carlos Moretti Bermudez, Comandante da Aeronáutica; e José Vicente Santini, Secretário Executivo da Casa Civil da Presidência da República""","""Palácio do Planalto"""
"21-11-2019","Não","495","16:45","17:00","15","""Alfredo de Souza Coelho Lima Carrijo, Subsecretário de Ensino e Valorização Profissional da Secretaria de Estado de Segurança Pública do Distrito Federal (SSP/DF)""","""Palácio do Planalto"""
"21-11-2019","Não","495","17:00","17:40","40","""Salim Mattar, Secretário Especial de Desestatização, Desinvestimento e Mercados do Ministério da Economia""","""Palácio do Planalto"""
"21-11-2019","Não","495","17:45","18:15","30","""Deputado Estadual Gil Diniz (PSL/SP)""","""Palácio do Planalto"""
