"DIA","SEM_COMPROMISSO","DURACAO_DIA","INICIO","FIM","DURACAO_COMPROMISSO","TITULO","LOCAL"
"11-11-2019","Não","560","07:10","09:25","135","""Partida de Brasília/DF para Campina Grande/PB""","""Base área de Brasília"""
"11-11-2019","Não","560","10:00","11:30","90","""Cerimônia de entrega de 4.100 unidades do Conjunto Habitacional Aluízio Campos""","""Campina Grande/Paraíba"""
"11-11-2019","Não","560","11:55","14:10","135","""Partida de Campina Grande/PB para Brasília/DF""","""Aeroporto de Campina Grande, Presidente João Suassuna"""
"11-11-2019","Não","560","15:10","15:40","30","""Jorge Antonio de Oliveira Francisco, Ministro-Chefe da Secretaria-Geral da Presidência da República""","""Palácio do Planalto"""
"11-11-2019","Não","560","15:40","17:00","80","""Onyx Lorenzoni, Ministro-Chefe da Casa Civil da Presidência da República; Sergio Moro, Ministro de Estado da Justiça e Segurança Pública; Paulo Guedes, Ministro de Estado da Economia; Wagner Rosário, Ministro de Estado da Controladoria-Geral da União; Jorge Antonio de Oliveira, Ministro-Chefe da Secretaria-Geral da Presidência da República; Luiz Eduardo Ramos, Ministro-Chefe da Secretaria de Governo da Presidência da República; André Luiz de Almeida, Advogado-Geral da União; Deputado Vitor Hugo (PSL/GO), Líder do Governo na Câmara dos Deputados; João Otávio de Noronha, Presidente do Superior Tribunal de Justiça – STJ; João Batista Brito Pereira, Presidente do Tribunal Superior do Trabalho – TST; Alte. Esq. Almir Garnier Santos, Secretário Geral do Ministério da Defesa; Humberto Jacques, Vice-Procurador-Geral Eleitoral da Procuradoria-Geral da República; Alte. Esq. Carlos Augusto de Sousa, 3º Ministro do Superior Tribunal Militar; e José Levi, Procurador-Geral da Fazenda Nacional""","""Palácio do Planalto"""
"11-11-2019","Não","560","17:00","18:00","60","""Lançamento do Programa Verde Amarelo e da Estratégia Nacional de Qualificação""","""Palácio do Planalto"""
"11-11-2019","Não","560","18:00","18:30","30","""Coronel Welton Gomes Maia Junior, Assessor de Assuntos Institucionais do Gabinete do Comandante do Exército""","""Palácio do Planalto"""
