"DIA","SEM_COMPROMISSO","DURACAO_DIA","INICIO","FIM","DURACAO_COMPROMISSO","TITULO","LOCAL"
"23-11-2019","Não","200","09:00","10:30","90","""Cerimônia de celebração do 74° aniversário de criação da Brigada de Infantaria Paraquedista""","""Rio de Janeiro/RJ"""
"23-11-2019","Não","200","11:00","11:30","30","""Cerimônia do Jubileu de Ouro e de Prata da Brigada de Infantaria Paraquedista""","""Rio de Janeiro/RJ"""
"23-11-2019","Não","200","12:20","13:40","80","""Partida do Rio de Janeiro/RJ para Brasília/DF""","""Aeroporto Santos Dumont"""
