"DIA","SEM_COMPROMISSO","DURACAO_DIA","INICIO","FIM","DURACAO_COMPROMISSO","TITULO","LOCAL"
"03-05-2019","Não","300","09:00","09:30","30","""Onyx Lorenzoni, Ministro-Chefe da Casa Civil da Presidência da República; Marcos Pereira, Presidente, em exercício, da Câmara dos Deputados; Deputado Major Vitor Hugo (PSL/GO), Líder do Governo na Câmara dos Deputado; Rogério Marinho, Secretário Especial de Previdência e Trabalho do Ministério da Economia; e Bispo Robson Rodovalho""","""Palácio do Planalto"""
"03-05-2019","Não","300","09:30","09:45","15","""Onyx Lorenzoni, Ministro-Chefe da Casa Civil da Presidência da República; e Floriano Peixoto, Ministro- Chefe da Secretaria-Geral da Presidência da República""","""Palácio do Planalto"""
"03-05-2019","Não","300","10:00","10:30","30","""Onyx Lorenzoni, Ministro-Chefe da Casa Civil da Presidência da República; e Marcelo Buz, Diretor- Presidente do Instituto Nacional de Tecnologia da Informação""","""Palácio do Planalto"""
"03-05-2019","Não","300","11:00","12:00","60","""Cerimônia de Formatura da Turma do Instituto Rio Branco""","""Brasília/DF"""
"03-05-2019","Não","300","12:00","12:30","30","""Cerimônia de Imposição de Insígnias da Ordem do Rio Branco""","""Brasília/DF"""
"03-05-2019","Não","300","12:30","13:30","60","""Almoço em homenagem aos formandos do Instituto Rio Branco""","""Brasília/DF"""
"03-05-2019","Não","300","16:00","16:30","30","""Fernando Azevedo, Ministro de Estado da Defesa""","""Palácio do Planalto"""
"03-05-2019","Não","300","16:30","17:00","30","""Onyx Lorenzoni, Ministro-Chefe da Casa Civil da Presidência da República; e Fernando Azevedo, Ministro de Estado da Defesa""","""Palácio do Planalto"""
"03-05-2019","Não","300","17:30","17:45","15","""Onyx Lorenzoni, Ministro-Chefe da Casa Civil da Presidência da República""","""Palácio do Planalto"""
