"DIA","SEM_COMPROMISSO","DURACAO_DIA","INICIO","FIM","DURACAO_COMPROMISSO","TITULO","LOCAL"
"19-06-2020","Não","210","10:00","10:25","25","""Braga Netto, Ministro-Chefe da Casa Civil da Presidência da República""","""Palácio do Planalto"""
"19-06-2020","Não","210","11:00","11:30","30","""Deputado Osmar Terra (MDB/RS)""","""Palácio do Planalto"""
"19-06-2020","Não","210","11:30","11:45","15","""Onyx Lorenzoni, Ministro de Estado da Cidadania; e Deputado Osmar Terra (MDB/RS)""","""Palácio do Planalto"""
"19-06-2020","Não","210","11:45","12:05","20","""Onyx Lorenzoni, Ministro de Estado da Cidadania; Marcos Pontes, Ministro de Estado da Ciência, Tecnologia e Inovações; e Deputado Osmar Terra (MDB/RS)""","""Palácio do Planalto"""
"19-06-2020","Não","210","12:05","12:40","35","""Marcos Pontes, Ministro de Estado da Ciência, Tecnologia e Inovações; e Deputado Osmar Terra (MDB/RS)""","""Palácio do Planalto"""
"19-06-2020","Não","210","14:00","14:30","30","""Fernando Azevedo, Ministro de Estado da Defesa""","""Palácio do Planalto"""
"19-06-2020","Não","210","18:05","19:00","55","""André Luiz de Almeida, Ministro de Estado da Justiça e Segurança Pública; e Jorge Antonio de Oliveira, Ministro-Chefe da Secretaria-Geral da Presidência da República""","""Palácio da Alvorada"""
