"DIA","SEM_COMPROMISSO","DURACAO_DIA","INICIO","FIM","DURACAO_COMPROMISSO","TITULO","LOCAL"
"22-01-2019","Não","210","15:30","16:00","30","""Discurso do senhor Presidente da República na Sessão Plenária do Fórum Econômico Mundial 2019""","""Davos/Suíça"""
"22-01-2019","Não","210","17:15","18:15","60","""Reunião do Conselho Internacional de Negócios""","""Davos/Suíça"""
"22-01-2019","Não","210","20:00","22:00","120","""Jantar oferecido pelo professor Klaus Schwab, fundador do Fórum Econômico Mundial""","""Davos/Suíça"""
