"DIA","SEM_COMPROMISSO","DURACAO_DIA","INICIO","FIM","DURACAO_COMPROMISSO","TITULO","LOCAL"
"11-01-2019","Não","300","10:00","10:20","20","""Onyx Lorenzoni, Ministro-Chefe da Casa Civil da Presidência da República""","""Palácio do Planalto"""
"11-01-2019","Não","300","10:30","10:40","10","""Gustavo Canuto, Ministro de Estado do Desenvolvimento Regional""","""Palácio do Planalto"""
"11-01-2019","Não","300","11:00","12:30","90","""Solenidade de Passagem de Comando do Exército do Excelentíssimo Senhor General de Exército Eduardo Dias da Costa Villas Bôas ao Excelentíssimo Senhor General de Exército Edson Leal Pujol""","""Brasília/DF"""
"11-01-2019","Não","300","14:00","14:30","30","""Onyx Lorenzoni, Ministro-Chefe da Casa Civil da Presidência da República; e Senador Davi Alcolumbre (DEM/AP)""","""Palácio do Planalto"""
"11-01-2019","Não","300","14:30","15:15","45","""Marcos Pontes, Ministro de Estado da Ciência, Tecnologia, Inovação e Comunicação""","""Palácio do Planalto"""
"11-01-2019","Não","300","15:15","15:30","15","""Gustavo Bebianno, Ministro-Chefe da Secretaria-Geral da Presidência da República""","""Palácio do Planalto"""
"11-01-2019","Não","300","15:30","16:00","30","""Onyx Lorenzoni, Ministro-Chefe da Casa Civil da Presidência da República; Augusto Heleno, Ministro-Chefe do Gabinete de Segurança Institucional da Presidência da República; Fernando Azevedo, Ministro de Estado da Defesa; Bento Costa Lima, Ministro de Estado de Minas e Energia; e Gustavo Canuto, Ministro de Estado do Desenvolvimento Regional""","""Palácio do Planalto"""
"11-01-2019","Não","300","19:30","20:30","60","""Solenidade de Posse dos Procuradores da República aprovados no 29º Concurso Público para provimentos de cargos de Procurador da República""","""Brasília/DF"""
