"DIA","SEM_COMPROMISSO","DURACAO_DIA","INICIO","FIM","DURACAO_COMPROMISSO","TITULO","LOCAL"
"26-02-2019","Não","-2505","07:50","00:10","-460","""Partida de Brasília para Foz do Iguaçu""","""Base Aérea de Brasília"""
"26-02-2019","Não","-2505","09:40","00:10","-570","""Chegada a Foz do Iguaçu""","""Aeroporto Internacional de Foz do Iguaçu/Cataratas"""
"26-02-2019","Não","-2505","11:00","12:30","90","""Cerimônia de posse do Diretor-Geral Brasileiro da Itaipu Binacional""","""Foz do Iguaçu/PR"""
"26-02-2019","Não","-2505","13:10","00:10","-780","""Partida de Foz do Iguaçu para Brasília""","""Aeroporto Internacional de Foz do Iguaçu/Cataratas"""
"26-02-2019","Não","-2505","15:00","00:10","-890","""Chegada a Brasília""","""Base Aérea de Brasília"""
"26-02-2019","Não","-2505","16:45","17:00","15","""Tereza Cristina, Ministra de Estado da Agricultura, Pecuária e Abastecimento""","""Palácio da Alvorada"""
"26-02-2019","Não","-2505","18:00","19:30","90","""Reunião com Lideranças Partidárias da Câmara""","""Palácio da Alvorada"""
