"DIA","SEM_COMPROMISSO","DURACAO_DIA","INICIO","FIM","DURACAO_COMPROMISSO","TITULO","LOCAL"
"14-02-2019","Não","440","08:00","08:50","50","""Santos Cruz, Ministro-Chefe da Secretaria de Governo da Presidência da República""","""Palácio da Alvorada"""
"14-02-2019","Não","440","09:00","10:00","60","""Gustavo Canuto, Ministro de Estado do Desenvolvimento Regional""","""Palácio da Alvorada"""
"14-02-2019","Não","440","09:15","10:15","60","""Augusto Heleno, Ministro-Chefe do Gabinete de Segurança Institucional da Presidência da República""","""Palácio da Alvorada"""
"14-02-2019","Não","440","10:00","10:30","30","""Deputado Federal Major Vitor Hugo (PSL/GO), Líder do governo na Câmara""","""Palácio da Alvorada"""
"14-02-2019","Não","440","15:00","17:00","120","""Onyx Lorenzoni, Ministro-Chefe da Casa Civil da Presidência da República, Paulo Guedes, Ministro de Estado da Economia, Santos Cruz, Ministro-Chefe da Secretaria de Governo da Presidência da República; Deputado Major Vitor Hugo (PSL/GO), Líder do Governo na Câmara; Rogério Marinho, Secretário Especial de Previdência e Trabalho do Ministério da Economia; Leonardo Rolim, Secretário de Previdência do Ministério da Economia, e Bruno Bianco, Secretário Especial Adjunto de Previdência e Trabalho do Ministério da Economia""","""Palácio da Alvorada"""
"14-02-2019","Não","440","17:00","18:00","60","""Onyx Lorenzoni, Ministro-Chefe da Casa Civil da Presidência da República, Paulo Guedes, Ministro de Estado da Economia, Santos Cruz, Ministro-Chefe da Secretaria de Governo da Presidência da República; Senador Flávio Bolsonaro (PSL/RJ), e Deputado Major Vitor Hugo (PSL/GO), Líder do Governo na Câmara""","""Palácio da Alvorada"""
"14-02-2019","Não","440","18:30","19:30","60","""Delegado da Polícia Federal Alexandre Ramagem""","""Palácio do Alvorada"""
