"DIA","SEM_COMPROMISSO","DURACAO_DIA","INICIO","FIM","DURACAO_COMPROMISSO","TITULO","LOCAL"
"08-10-2020","Não","450","08:00","09:00","60","""Solenidade de Encerramento dos Cursos de Formação Profissional para os cargos de Agente de Polícia Federal, Escrivão de Polícia Federal e Papiloscopista Policial Federal""","""Brasília/DF"""
"08-10-2020","Não","450","09:30","12:00","150","""37ª Reunião do Conselho de Governo""","""Palácio do Planalto"""
"08-10-2020","Não","450","13:00","17:00","240","""Partida de Brasília/DF para Breves/PA""","""Base Aérea de Brasília"""
