"DIA","SEM_COMPROMISSO","DURACAO_DIA","INICIO","FIM","DURACAO_COMPROMISSO","TITULO","LOCAL"
"05-10-2020","Não","360","09:00","09:20","20","""Telefonema - Moon Jae-in, Presidente da Coreia do Sul""","""Palácio do Planalto"""
"05-10-2020","Não","360","09:30","10:00","30","""Ernesto Araújo, Ministro de Estado das Relações Exteriores""","""Palácio do Planalto"""
"05-10-2020","Não","360","10:00","10:30","30","""Telefonema - Mohammad bin Salman Al Saud, Príncipe Herdeiro da Arábia Saudita""","""Palácio do Planalto"""
"05-10-2020","Não","360","11:00","11:30","30","""Braga Netto, Ministro-Chefe da Casa Civil da Presidência da República""","""Palácio do Planalto"""
"05-10-2020","Não","360","14:15","15:35","80","""Partida de Brasília/DF para São Paulo/SP""","""Base Aérea de Brasília/DF"""
"05-10-2020","Não","360","19:30","21:00","90","""Culto em Ação de Graças pela vida do Pastor Wellington Bezerra da Costa, Presidente das Igrejas Evangélicas Assembleia de Deus do Brasil""","""São Paulo/SP"""
"05-10-2020","Não","360","21:40","23:00","80","""Partida de São Paulo/SP para Brasília/DF""","""Aeroporto de Congonhas/SP"""
