"DIA","SEM_COMPROMISSO","DURACAO_DIA","INICIO","FIM","DURACAO_COMPROMISSO","TITULO","LOCAL"
"13-10-2020","Não","280","09:00","09:45","45","""Braga Netto, Ministro-Chefe da Casa Civil da Presidência da República""","""Palácio do Planalto"""
"13-10-2020","Não","280","14:00","15:00","60","""Luiz Fux, Presidente do Supremo Tribunal Federal""","""Brasília/DF"""
"13-10-2020","Não","280","15:00","15:30","30","""Milton Ribeiro, Ministro de Estado da Educação; e Jorge Antonio de Oliveira, Ministro-Chefe da Secretaria-Geral da Presidência da República""","""Palácio do Planalto"""
"13-10-2020","Não","280","15:40","16:30","50","""Paulo Guedes, Ministro de Estado da Economia""","""Palácio do Planalto"""
"13-10-2020","Não","280","16:30","16:50","20","""Rogério Marinho, Ministro de Estado do Desenvolvimento Regional""","""Palácio do Planalto"""
"13-10-2020","Não","280","17:00","17:40","40","""Braga Netto, Ministro-Chefe da Casa Civil da Presidência da República; André Luiz de Almeida, Ministro de Estado da Justiça e Segurança Pública; Tarcísio Gomes de Freitas, Ministro de Estado da Infraestrutura; e Jorge Antonio de Oliveira, Ministro-Chefe da Secretaria-Geral da Presidência da República""","""Palácio do Planalto"""
"13-10-2020","Não","280","17:45","18:20","35","""André Luiz de Almeida, Ministro de Estado da Justiça e Segurança Pública; e Jorge Antonio de Oliveira, Ministro-Chefe da Secretaria-Geral da Presidência da República""","""Palácio do Planalto"""
