"DIA","SEM_COMPROMISSO","DURACAO_DIA","INICIO","FIM","DURACAO_COMPROMISSO","TITULO","LOCAL"
"26-04-2019","Não","165","08:15","09:20","65","""Santos Cruz, Ministro-Chefe da Secretaria de Governo da Presidência da República; Augusto Heleno, Ministro-Chefe do Gabinete de Segurança Institucional da Presidência da República; e Deputado Major Vitor Hugo (PSL/GO), Líder do Governo na Câmara dos Deputados""","""Palácio do Planalto"""
"26-04-2019","Não","165","09:30","09:40","10","""Ingrid Monteiro Peixoto Becker, Meteorologista; e Arsênio Carlos Andrés Flores Becker, Analista de Sistemas""","""Palácio do Planalto"""
"26-04-2019","Não","165","10:00","10:30","30","""Gutemberg de Paula Fonseca, Secretário de Governo e Relações Institucionais do estado do Rio de Janeiro, e Adilson Barroso, Presidente Nacional do Partido Patriota""","""Palácio do Planalto"""
"26-04-2019","Não","165","11:15","11:45","30","""Onyx Lorenzoni, Ministro-Chefe da Casa Civil da Presidência da República; Senador Roberto Rocha (PSDB/MA) e Maura Jorge, Ex-deputada""","""Palácio do Planalto"""
"26-04-2019","Não","165","18:30","19:00","30","""Santos Cruz, Ministro-Chefe da Secretaria de Governo da Presidência da República""","""Palácio da Alvorada"""
