"DIA","SEM_COMPROMISSO","DURACAO_DIA","INICIO","FIM","DURACAO_COMPROMISSO","TITULO","LOCAL"
"01-04-2019","Não","100","11:15","11:40","25","""Cerimônia de condecoração da Brigada de Busca e Salvamento do Comando da Frente Interna de Israel com a Insígnia da Ordem Nacional do Cruzeiro do Sul""","""Jerusalém/Israel"""
"01-04-2019","Não","100","16:00","16:30","30","""Visita à Basílica do Santo Sepulcro""","""Jerusalém/Israel"""
"01-04-2019","Não","100","17:00","17:45","45","""Visita ao Muro das Lamentações""","""Jerusalém/Israel"""
