"DIA","SEM_COMPROMISSO","DURACAO_DIA","INICIO","FIM","DURACAO_COMPROMISSO","TITULO","LOCAL"
"06-06-2019","Não","-95","06:50","10:40","230","""Partida de Brasília/DF para Buenos Aires/Argentina""","""Base Aérea de Brasília"""
"06-06-2019","Não","-95","10:40","10:55","15","""Cerimônia de oferenda floral""","""Buenos Aires/Argentina"""
"06-06-2019","Não","-95","11:05","00:10","-655","""Reunião com o senhor Mauricio Macri, Presidente da República Argentina""","""Buenos Aires/Argentina"""
"06-06-2019","Não","-95","11:25","12:40","75","""Reunião ampliada""","""Buenos Aires/Argentina"""
"06-06-2019","Não","-95","12:40","13:00","20","""Declaração conjunta à Imprensa""","""Buenos Aires/Argentina"""
"06-06-2019","Não","-95","13:00","13:15","15","""Reunião com cúpula do Congresso da Nação Argentina""","""Buenos Aires/Argentina"""
"06-06-2019","Não","-95","13:15","13:30","15","""Reunião com o Presidente da Corte Suprema de Justiça""","""Buenos Aires/Argentina"""
"06-06-2019","Não","-95","13:40","14:45","65","""Almoço oficial oferecido pelo senhor Mauricio Macri, Presidente da República Argentina""","""Buenos Aires/Argentina"""
"06-06-2019","Não","-95","16:30","16:55","25","""Cerimônia de encerramento do Seminário de Indústria de Defesa""","""Buenos Aires/Argentina"""
"06-06-2019","Não","-95","17:05","18:15","70","""Encontro com empresários""","""Buenos Aires/Argentina"""
"06-06-2019","Não","-95","19:00","19:30","30","""Transmissão ao Vivo (Live) com Paulo Guedes, Ministro de Estado da Economia; Tereza Cristina, Ministra de Estado da Agricultura, Pecuária e Abastecimento; e Bento Albuquerque, Ministro de Estado de Minas e Energia""","""Buenos Aires/Argentina"""
