"DIA","SEM_COMPROMISSO","DURACAO_DIA","INICIO","FIM","DURACAO_COMPROMISSO","TITULO","LOCAL"
"18-06-2019","Não","540","08:00","08:15","15","""Hasteamento da Bandeira Nacional""","""Palácio do Planalto"""
"18-06-2019","Não","540","08:15","11:00","165","""14ª Reunião do Conselho de Governo""","""Palácio do Planalto"""
"18-06-2019","Não","540","11:00","12:00","60","""Cerimônia de Lançamento do Plano Safra 2019/2020""","""Palácio do Planalto"""
"18-06-2019","Não","540","12:00","13:30","90","""Deputado PR. Marco Feliciano (PODE/SP)""","""Palácio do Planalto"""
"18-06-2019","Não","540","14:30","16:00","90","""Deputada Joice Hasselmann (PSL/SP), Líder do Governo no Congresso Nacional; Deputado José Nelto (PODE/GO), Líder do Podemos na Câmara dos Deputados, e Bancada do Podemos""","""Palácio do Planalto"""
"18-06-2019","Não","540","16:00","16:30","30","""Paulo Guedes, Ministro de Estado da Economia; Tereza Cristina, Ministra de Estado da Agricultura, Pecuária e Abastecimento; Deputado Fausto Pinato (PP/SP), Presidente da Frente Parlamentar Mista em Defesa da Indústria Brasileira de Bebidas; membros e coordenadores; e Alfredo Alexandre de Menezes Junior, Superintendente da SUFRAMA""","""Palácio do Planalto"""
"18-06-2019","Não","540","16:30","16:45","15","""Abraham Weintraub, Ministro de Estado da Educação""","""Palácio do Planalto"""
"18-06-2019","Não","540","16:45","17:00","15","""Hamilton Mourão, Vice-Presidente da República; Augusto Heleno, Ministro-Chefe do Gabinete de Segurança Institucional da Presidência da República; e Heraldo Pereira, Jornalista""","""Palácio do Planalto"""
"18-06-2019","Não","540","17:00","17:45","45","""Solenidade de Sanção da Lei de Combate às Fraudes Previdenciárias""","""Palácio do Planalto"""
"18-06-2019","Não","540","18:30","18:45","15","""Deputado Estadual Frederico d'Avila (PSL/SP)""","""Palácio do Planalto"""
