"DIA","SEM_COMPROMISSO","DURACAO_DIA","INICIO","FIM","DURACAO_COMPROMISSO","TITULO","LOCAL"
"07-06-2019","Não","340","06:40","09:30","170","""Partida de Buenos Aires/Argentina para o Rio de Janeiro/RJ""","""Base Aérea Militar Aeroparque"""
"07-06-2019","Não","340","10:10","11:30","80","""Cerimônia de Formatura do Curso Especial de Habilitação para Promoção a Sargento""","""Rio de Janeiro/RJ"""
"07-06-2019","Não","340","12:00","13:30","90","""Partida do Rio de Janeiro/RJ para Brasília/DF""","""Aeroporto do Galeão"""
