"DIA","SEM_COMPROMISSO","DURACAO_DIA","INICIO","FIM","DURACAO_COMPROMISSO","TITULO","LOCAL"
"28-06-2019","Não","520","07:00","07:30","30","""Transmissão ao Vivo (Live) com Augusto Heleno, Ministro-Chefe do Gabinete de Segurança Institucional da Presidência da República; e Embaixador Otávio Brandelli, Secretário-Geral das Relações Exteriores""","""Osaka/Japão"""
"28-06-2019","Não","520","08:50","09:05","15","""Secretário-Geral da OCDE, José Angel Gurría Treviño""","""Osaka/Japão"""
"28-06-2019","Não","520","09:10","09:30","20","""Presidente do Banco Mundial, David Malpass""","""Osaka/Japão"""
"28-06-2019","Não","520","10:15","10:20","5","""Fotografias de Família dos Líderes do BRICS""","""Osaka/Japão"""
"28-06-2019","Não","520","10:20","10:50","30","""Reunião Informal dos Líderes do BRICS""","""Osaka/Japão"""
"28-06-2019","Não","520","11:35","11:50","15","""Cumprimentos do Primeiro Ministro Shinzo Abe""","""Osaka/Japão"""
"28-06-2019","Não","520","11:50","12:00","10","""Fotografia de Família dos Líderes do G20""","""Osaka/Japão"""
"28-06-2019","Não","520","12:00","12:20","20","""Reunião Paralela dos Líderes do G20 sobre Economia Digital""","""Osaka/Japão"""
"28-06-2019","Não","520","12:20","14:25","125","""Primeira Sessão Plenária da Cúpula de Líderes do G20""","""Osaka/Japão"""
"28-06-2019","Não","520","14:25","14:55","30","""Emmanuel Macron, Presidente da República Francesa""","""osaka/Japão"""
"28-06-2019","Não","520","14:55","15:15","20","""Segunda Sessão Plenária da Cúpula de Líderes do G20""","""Osaka/Japão"""
"28-06-2019","Não","520","15:15","16:25","70","""Reunião bilateral com Donald Trump, Presidente dos Estados Unidos da América""","""Osaka/Japão"""
"28-06-2019","Não","520","18:05","18:10","5","""Fotografia de Família dos Líderes do G20""","""Osaka/Japão"""
"28-06-2019","Não","520","18:10","18:45","35","""Apresentação Cultural""","""Osaka/Japão"""
"28-06-2019","Não","520","18:45","20:15","90","""Jantar em homenagem aos Líderes do G20 oferecido pelo Primeiro Ministro Shinzo Abe""","""Osaka/Japão"""
