"DIA","SEM_COMPROMISSO","DURACAO_DIA","INICIO","FIM","DURACAO_COMPROMISSO","TITULO","LOCAL"
"26-03-2021","Não","270","09:30","10:00","30","""Sérgio José Pereira, Ministro-Chefe da Casa Civil da Presidência da República, substituto""","""Palácio do Planalto"""
"26-03-2021","Não","270","10:00","12:00","120","""Reunião de Cúpula do Mercosul - Aniversário de 30 anos do Tratado de Assunção (videoconferência)""","""Palácio do Planalto"""
"26-03-2021","Não","270","14:00","14:30","30","""Pedro Cesar Sousa, Subchefe para Assuntos Jurídicos da Secretaria-Geral da Presidência da República""","""Palácio do Planalto"""
"26-03-2021","Não","270","15:00","15:30","30","""Marcelo Queiroga, Ministro de Estado da Saúde""","""Palácio do Planalto"""
"26-03-2021","Não","270","15:30","16:00","30","""Deputada Aline Sleutjes (PSL/PR)""","""Palácio do Planalto"""
"26-03-2021","Não","270","16:00","16:30","30","""Deputado Átila Lins (PP/AM)""","""Palácio do Planalto"""
