"DIA","SEM_COMPROMISSO","DURACAO_DIA","INICIO","FIM","DURACAO_COMPROMISSO","TITULO","LOCAL"
"01-08-2019","Não","575","08:45","09:40","55","""Paulo Guedes, Ministro de Estado da Economia; Bento Albuquerque, Ministro de Estado de Minas e Energia; Augusto Heleno, Ministro-Chefe do Gabinete de Segurança Institucional da Presidência da República; e Wilson Ferreira Junior, Presidente das Centrais Elétricas Brasileiras S.A""","""Palácio do Planalto"""
"01-08-2019","Não","575","09:45","10:15","30","""Deputado Luciano Bivar (PSL/PE), Presidente Nacional PSL; Antônio Rueda, Vice-Presidente do PSL; e Karina Kufa, Advogada""","""Palácio do Planalto"""
"01-08-2019","Não","575","10:15","10:40","25","""Ernesto Araújo, Ministro de Estado das Relações Exteriores; e Nelson Manuel Cosme, Embaixador da Angola no Brasil""","""Palácio do Planalto"""
"01-08-2019","Não","575","10:40","11:05","25","""Hamilton Mourão, Vice-Presidente da República; Ernesto Araújo, Ministro de Estado das Relações Exteriores; Ricardo Salles, Ministro de Estado do Meio Ambiente; Luiz Henrique Mandetta, Ministro de Estado da Saúde; e Jorge Antonio de Oliveira, Ministro-Chefe da Secretaria-Geral da Presidência da República""","""Palácio do Planalto"""
"01-08-2019","Não","575","11:10","12:10","60","""Cerimônia de Lançamento do Programa Médicos pelo Brasil""","""Palácio do Planalto"""
"01-08-2019","Não","575","12:10","13:25","75","""Jorge Antonio de Oliveira, Ministro-Chefe da Secretaria-Geral da Presidência da República; André Luiz de Almeida, Advogado-Geral da União; Gilson Machado, Presidente do Instituto Brasileiro do Turismo – Embratur; Luiz Antônio Nabhan Garcia, Secretário Especial de Assuntos Fundiários do Ministério da Agricultura, Pecuária e Abastecimento; Antônio Barra Torres, Diretor da Agência Nacional de Vigilância Sanitária - Anvisa; Deputado Hélio Lopes (PSL/RJ); e Richard Rasmussen, Biólogo""","""Palácio do Planalto"""
"01-08-2019","Não","575","14:00","14:30","30","""Bento Albuquerque, Ministro de Estado de Minas e Energia; Ricardo Salles, Ministro de Estado do Meio Ambiente; Marcelo Álvaro Antonio, Ministro de Estado do Turismo; Pedro Vaquer, Presidente da Solatio; Walter Froés, Presidente da CMU Comercializadora de Energia; e Guilherme Ávila, Diretor Financeiro Tradener Energia""","""Palácio do Planalto"""
"01-08-2019","Não","575","14:30","15:50","80","""Coletiva de imprensa""","""Palácio do Planalto"""
"01-08-2019","Não","575","15:50","16:45","55","""Ernesto Araújo, Ministro de Estado das Relações Exteriores; e Antônio Barra Torres, Diretor da Agência Nacional de Vigilância Sanitária - ANVISA""","""Palácio do Planalto"""
"01-08-2019","Não","575","17:00","17:40","40","""Fernando Azevedo, Ministro de Estado da Defesa""","""Palácio do Planalto"""
"01-08-2019","Não","575","17:40","18:00","20","""José Vicente Santini, Ministro-Chefe da Casa Civil da Presidência da República, substituto""","""Palácio do Planalto"""
"01-08-2019","Não","575","18:00","18:30","30","""Jorge Antonio de Oliveira, Ministro-Chefe da Secretaria-Geral da Presidência da República""","""Palácio do Planalto"""
"01-08-2019","Não","575","19:00","19:50","50","""Transmissão ao Vivo (Live) com Marcos Pontes, Ministro de Estado da Ciência, Tecnologia, Inovações e Comunicações; Jorge Seif, Secretário de Aquicultura e Pesca do Ministério da Agricultura, Pecuária e Abastecimento; e Gilson Machado, Presidente do Instituto Brasileiro do Turismo – Embratur""","""Palácio da Alvorada"""
