"DIA","SEM_COMPROMISSO","DURACAO_DIA","INICIO","FIM","DURACAO_COMPROMISSO","TITULO","LOCAL"
"08-08-2019","Não","570","09:10","10:00","50","""Augusto Heleno, Ministro-Chefe do Gabinete de Segurança Institucional da Presidência da República; Deputada Bia Kicis (PSL/DF); Walton Alencar Rodrigues, Ministro do Tribunal de Contas da União; José Vicente Santini, Secretário-Executivo da Casa Civil da Presidência da República; e Paulo Gonet, Subprocurador-Geral da República""","""Palácio do Planalto"""
"08-08-2019","Não","570","10:00","10:15","15","""Luiz Eduardo Ramos, Ministro-Chefe da Secretaria de Governo da Presidência da República; e Augusto Heleno, Ministro-Chefe do Gabinete de Segurança Institucional da Presidência da República""","""Palácio do Planalto"""
"08-08-2019","Não","570","10:15","10:50","35","""Marcos Pontes, Ministro de Estado da Ciência, Tecnologia, Inovação e Comunicação; Jaime de Cassio Miranda, Procurador-Geral de Justiça Militar; e Marcelo Weitzel Rabello de Souza, Subprocurador-Geral de Justiça Militar""","""Palácio do Planalto"""
"08-08-2019","Não","570","10:50","11:15","25","""Marcos Pontes, Ministro de Estado da Ciência, Tecnologia, Inovação e Comunicação; Luiz Eduardo Ramos, Ministro-Chefe da Secretaria de Governo da Presidência da República; e Deputado Alceu Moreira (MDB/RS)""","""Palácio do Planalto"""
"08-08-2019","Não","570","11:15","11:30","15","""Marcos Pontes, Ministro de Estado da Ciência, Tecnologia, Inovação e Comunicação; Deputado Silas Câmara (PRB/AM); e Bispo Robson Rodovalho, Presidente do Ministério Sara Nossa Terra""","""Palácio do Planalto"""
"08-08-2019","Não","570","11:30","12:00","30","""Marcos Pontes, Ministro de Estado da Ciência, Tecnologia, Inovação e Comunicação""","""Palácio do Planalto"""
"08-08-2019","Não","570","12:00","13:30","90","""Jorge Antônio de Oliveira, Ministro-Chefe da Secretaria-Geral da Presidência da República; Senhora Maria Joseíta Silva Brilhante Ustra; e Senhora Marília Oliveira""","""Palácio do Planalto"""
"08-08-2019","Não","570","13:30","13:45","15","""Onyx Lorenzoni, Ministro-Chefe da Casa Civil da Presidência da República""","""Palácio do Planalto"""
"08-08-2019","Não","570","14:10","14:40","30","""Maria Lúcia Gava Severa, Presidente da Liga de Combate ao Câncer de Bento Gonçalves""","""Palácio do Planalto"""
"08-08-2019","Não","570","14:30","15:00","30","""Luiz Eduardo Ramos, Ministro-Chefe da Secretaria de Governo da Presidência da República; e Deputado Major Vitor Hugo (PSL/GO), Líder do Governo na Câmara dos Deputados""","""Palácio do Planalto"""
"08-08-2019","Não","570","15:00","15:40","40","""Marcelo Álvaro Antônio, Ministro de Estado do Turismo; Deputado Major Vitor Hugo (PSL/GO), Líder do Governo na Câmara dos Deputados; e Deputado Newton Cardoso Junior (MDB/MG)""","""Palácio do Planalto"""
"08-08-2019","Não","570","15:40","16:00","20","""Jorge Antônio de Oliveira, Ministro-Chefe da Secretaria-Geral da Presidência da República""","""Palácio do Planalto"""
"08-08-2019","Não","570","16:00","16:15","15","""José Vicente Santini, Secretário-Executivo da Casa Civil da Presidência da República""","""Palácio do Planalto"""
"08-08-2019","Não","570","16:15","17:00","45","""Roberto Campos Neto, Presidente do Banco Central; José Levi, Procurador-Geral da Fazenda Nacional; e Solange Vieira, Superintendente de Seguros Privados""","""Palácio do Planalto"""
"08-08-2019","Não","570","17:00","17:30","30","""Ernesto Araújo, Ministro de Estado das Relações Exteriores""","""Palácio do Planalto"""
"08-08-2019","Não","570","17:50","18:15","25","""Sérgio Moro, Ministro de Estado da Justiça e Segurança Pública""","""Palácio do Planalto"""
"08-08-2019","Não","570","19:00","20:00","60","""Transmissão ao Vivo (Live) com Sérgio Moro, Ministro de Estado da Justiça e Segurança Pública; e Ricardo Salles, Ministro de Estado do Meio Ambiente""","""Palácio do Planalto"""
