"DIA","SEM_COMPROMISSO","DURACAO_DIA","INICIO","FIM","DURACAO_COMPROMISSO","TITULO","LOCAL"
"29-08-2019","Não","295","08:30","10:00","90","""Café da Manhã com Deputado José Medeiros (PODE/MT) e Bancada de Mato Grosso""","""Palácio do Planalto"""
"29-08-2019","Não","295","10:00","10:30","30","""Abraham Weintraub, Ministro de Estado da Educação""","""Palácio do Planalto"""
"29-08-2019","Não","295","10:30","11:00","30","""Luiz Eduardo Ramos, Ministro-Chefe da Secretaria de Governo da Presidência da República; Deputado Dr. Luiz Ovando (PSL/MS); e Valdir Couto de Souza Junior, Prefeito Municipal de Nioaque/MS""","""Palácio do Planalto"""
"29-08-2019","Não","295","11:00","11:30","30","""Marcos Cintra, Secretário da Receita Federal""","""Palácio do Planalto"""
"29-08-2019","Não","295","12:00","12:30","30","""Ricardo Lewandowski, Ministro do Supremo Tribunal Federal""","""Palácio do Planalto"""
"29-08-2019","Não","295","14:00","14:30","30","""Solenidade de Lançamento do Projeto em Frente Brasil""","""Palácio do Planalto"""
"29-08-2019","Não","295","15:45","16:00","15","""Ernesto Araújo, Ministro de Estado das Relações Exteriores""","""Palácio do Planalto"""
"29-08-2019","Não","295","19:00","19:40","40","""Transmissão ao Vivo (Live) com Augusto Heleno, Ministro-Chefe do Gabinete de Segurança Institucional da Presidência da República""","""Palácio da Alvorada"""
