"DIA","SEM_COMPROMISSO","DURACAO_DIA","INICIO","FIM","DURACAO_COMPROMISSO","TITULO","LOCAL"
"15-10-2019","Não","430","08:00","08:15","15","""Hasteamento da Bandeira Nacional""","""Palácio da Alvorada"""
"15-10-2019","Não","430","08:15","11:30","195","""21ª Reunião do Conselho de Governo""","""Palácio da Alvorada"""
"15-10-2019","Não","430","11:45","12:05","20","""Jorge Antonio de Oliveira, Ministro-Chefe da Secretaria-Geral da Presidência da República""","""Palácio da Alvorada"""
"15-10-2019","Não","430","14:00","14:50","50","""Paulo Guedes, Ministro de Estado da Economia; Bento Albuquerque, Ministro de Estado de Minas e Energia; e Mauricio Bähr, Presidente da ENGIE Brasil""","""Palácio do Planalto"""
"15-10-2019","Não","430","15:00","15:30","30","""Sérgio Moro, Ministro de Estado da Justiça e Segurança Pública""","""Palácio do Planalto"""
"15-10-2019","Não","430","17:00","18:00","60","""Solenidade do 13º do Bolsa Família e Recursos para obras Irmã Dulce""","""Palácio do Planalto"""
"15-10-2019","Não","430","18:50","19:50","60","""Deputado Pastor Marco Feliciano (PODE/SP), Vice-Líder do Governo no Congresso Nacional""","""Palácio da Alvorada"""
