"DIA","SEM_COMPROMISSO","DURACAO_DIA","INICIO","FIM","DURACAO_COMPROMISSO","TITULO","LOCAL"
"16-10-2019","Não","425","09:10","09:55","45","""Tarcísio Freitas, Ministro de Estado da Infraestrutura; e Augusto Heleno, Ministro-Chefe do Gabinete de Segurança Institucional da Presidência da República""","""Palácio do Planalto"""
"16-10-2019","Não","425","10:00","10:15","15","""Dias Toffoli, Presidente do Supremo Tribunal Federal; e Alexandre de Moraes, Ministro do Supremo Tribunal Federal""","""Palácio do Planalto"""
"16-10-2019","Não","425","10:15","11:00","45","""Solenidade de Assinatura da MP do Contribuinte Legal""","""Palácio do Planalto"""
"16-10-2019","Não","425","11:00","11:25","25","""Gilmar Mendes, Ministro do Supremo Tribunal Federal""","""Palácio do Planalto"""
"16-10-2019","Não","425","11:30","11:45","15","""Abraham Weintraub, Ministro de Estado da Educação""","""Palácio do Planalto"""
"16-10-2019","Não","425","15:00","15:45","45","""Luiz Eduardo Ramos, Ministro-Chefe da Secretaria de Governo da Presidência da República; Deputado Vitor Hugo (PSL/GO), Líder do Governo na Câmara dos Deputados; e Deputado Domingos Neto (PSD/CE)""","""Palácio do Planalto"""
"16-10-2019","Não","425","16:00","16:40","40","""Cerimônia de Assinatura de Decreto de Concessão de Documento de Identificação Militar para Oficial da Reserva""","""Palácio do Planalto"""
"16-10-2019","Não","425","17:00","18:30","90","""Paulo Guedes, Ministro de Estado da Economia""","""Palácio do Planalto"""
"16-10-2019","Não","425","17:30","18:00","30","""Osmar Terra, Ministro de Estado da Cidadania""","""Palácio do Planalto"""
"16-10-2019","Não","425","20:00","21:15","75","""Davi Alcolumbre, Presidente do Senado Federal; e Senador Fernando Bezerra Coelho (MDB/PE), Líder do Governo no Senado Federal""","""Palácio da Alvorada"""
