"DIA","SEM_COMPROMISSO","DURACAO_DIA","INICIO","FIM","DURACAO_COMPROMISSO","TITULO","LOCAL"
"04-07-2020","Não","415","06:20","08:20","120","""Partida de Brasília/DF para Florianópolis/SC""","""Base Aérea de Brasília"""
"04-07-2020","Não","415","08:40","09:30","50","""Sobrevoo às áreas atingidas por ciclone""","""Florianópolis/SC"""
"04-07-2020","Não","415","10:40","12:25","105","""Partida de Florianópolis/SC para Brasília/DF""","""Aeroporto Internacional de Florianópolis - Hercílio Luz"""
"04-07-2020","Não","415","12:40","15:00","140","""Comemoração ao 244º Aniversário da Independência dos Estados Unidos da América""","""Brasília/DF"""
