"DIA","SEM_COMPROMISSO","DURACAO_DIA","INICIO","FIM","DURACAO_COMPROMISSO","TITULO","LOCAL"
"22-05-2020","Não","335","09:00","09:30","30","""Braga Netto, Ministro-Chefe da Casa Civil da Presidência da República; Luiz Eduardo Ramos, Ministro-Chefe da Secretaria de Governo da Presidência da República; e Augusto Heleno, Ministro-Chefe do Gabinete de Segurança Institucional da Presidência da República""","""Palácio do Planalto"""
"22-05-2020","Não","335","10:00","11:25","85","""André Luiz de Almeida, Ministro de Estado da Justiça e Segurança Pública; Fernando Azevedo, Ministro de Estado da Defesa; Luiz Eduardo Ramos, Ministro-Chefe da Secretaria de Governo da Presidência da República; Augusto Heleno, Ministro-Chefe do Gabinete de Segurança Institucional da Presidência da República; José Levi Mello do Amaral Júnior, Advogado-Geral da União""","""Palácio do Planalto"""
"22-05-2020","Não","335","11:25","11:30","5","""Senador Jorginho Mello (PL/SC), Líder do PL no Senado Federal""","""Palácio do Planalto"""
"22-05-2020","Não","335","11:30","12:20","50","""Luiz Eduardo Ramos, Ministro-Chefe da Secretaria de Governo da Presidência da República; e Paulo Skaf, Presidente da Federação das Indústrias do estado de São Paulo – FIESP""","""Palácio do Planalto"""
"22-05-2020","Não","335","14:10","14:40","30","""Braga Netto, Ministro-Chefe da Casa Civil da Presidência da República; Luiz Eduardo Ramos, Ministro-Chefe da Secretaria de Governo da Presidência da República; e Pedro Guimarães, Presidente da CAIXA""","""Palácio do Planalto"""
"22-05-2020","Não","335","15:00","16:25","85","""Entrevista à Bárbara Zambaldi Destefani, Youtuber""","""Palácio do Planalto"""
"22-05-2020","Não","335","16:25","17:00","35","""André Luiz de Almeida, Ministro de Estado da Justiça e Segurança Pública; e Jorge Antonio de Oliveira, Ministro-Chefe da Secretaria-Geral da Presidência da República""","""Palácio do Planalto"""
"22-05-2020","Não","335","17:00","17:15","15","""Telefonema - Mario Abdo Benítez, Presidente da República do Paraguai""","""Palácio do Planalto"""
