"DIA","SEM_COMPROMISSO","DURACAO_DIA","INICIO","FIM","DURACAO_COMPROMISSO","TITULO","LOCAL"
"09-02-2021","Não","390","08:00","10:15","135","""Reunião com Ministros de Estado""","""Palácio do Planalto"""
"09-02-2021","Não","390","11:25","12:00","35","""Milton Ribeiro, Ministro de Estado da Educação""","""Palácio do Planalto"""
"09-02-2021","Não","390","14:00","14:40","40","""Braga Netto, Ministro de Estado Chefe da Casa Civil da Presidência da República""","""Palácio do Planalto"""
"09-02-2021","Não","390","14:40","15:00","20","""Paulo Guedes, Ministro de Estado da Economia""","""Palácio do Planalto"""
"09-02-2021","Não","390","15:00","15:30","30","""Pedro Cesar Sousa, Ministro-Chefe da Secretaria-Geral da Presidência da República interino""","""Palácio do Planalto"""
"09-02-2021","Não","390","15:30","15:40","10","""André Luiz de Almeida, Ministro de Estado da Justiça e Segurança Pública; Damares Alves, Ministra de Estado da Mulher, da Família e dos Direitos Humanos; e Pedro Cesar Sousa, Ministro-Chefe da Secretaria-Geral da Presidência da República interino""","""Palácio do Planalto"""
"09-02-2021","Não","390","16:00","16:30","30","""Gilson Machado Neto, Ministro do Turismo""","""Palácio do Planalto"""
"09-02-2021","Não","390","16:30","17:00","30","""Deputado Marcos Pereira (Republicanos/SP), Presidente Nacional do Republicanos; e Deputado Silvio Costa Filho (Republicanos/PE)""","""Palácio do Planalto"""
"09-02-2021","Não","390","17:00","18:00","60","""Lançamento do Programa \""Adote 1 Parque\""""","""Palácio do Planalto"""
