"DIA","SEM_COMPROMISSO","DURACAO_DIA","INICIO","FIM","DURACAO_COMPROMISSO","TITULO","LOCAL"
"25-02-2021","Não","325","08:30","10:20","110","""Partida de Brasília/DF para Foz do Iguaçu/PR""","""Base Aérea de Brasília"""
"25-02-2021","Não","325","11:40","12:40","60","""Cerimônia de Lançamento da Revitalização do Sistema HVDC de Furnas Associado à Usina Hidrelétrica de Itaipu""","""Foz do Iguaçu/PR"""
"25-02-2021","Não","325","14:10","16:00","110","""Partida de Foz do Iguaçu/PR para Brasília/DF""","""Aeroporto Internacional de Foz do Iguaçu/Cataratas"""
"25-02-2021","Não","325","16:00","16:10","10","""Pedro Cesar Sousa, Subchefe para Assuntos Jurídicos da Secretaria-Geral da Presidência da República""","""Base Aérea de Brasília"""
"25-02-2021","Não","325","17:40","18:15","35","""Braga Netto, Ministro-Chefe da Casa Civil da Presidência da República; Paulo Guedes, Ministro de Estado da Economia; e Luiz Eduardo Ramos, Ministro-Chefe da Secretaria de Governo da Presidência da República""","""Palácio da Alvorada"""
