"DIA","SEM_COMPROMISSO","DURACAO_DIA","INICIO","FIM","DURACAO_COMPROMISSO","TITULO","LOCAL"
"04-12-2020","Não","500","08:30","09:30","60","""Partida de Brasília/DF para Pirassununga/SP""","""Base Aérea de Brasília"""
"04-12-2020","Não","500","10:00","11:30","90","""Solenidade de Declaração dos novos Aspirantes da Aeronáutica""","""Pirassununga/SP"""
"04-12-2020","Não","500","12:00","14:00","120","""Partida de Pirassununga/SP para Salvador/BA""","""Pirassununga/SP"""
"04-12-2020","Não","500","15:00","16:00","60","""113ª e 114ª Assembleias Gerais Ordinárias da Convenção Estadual das Assembleias de Deus da Bahia - CEADEB""","""Salvador/BA"""
"04-12-2020","Não","500","17:00","19:50","170","""Partida de Salvador/BA para Resende/RJ""","""Base Aérea de Salvador"""
