"DIA","SEM_COMPROMISSO","DURACAO_DIA","INICIO","FIM","DURACAO_COMPROMISSO","TITULO","LOCAL"
"03-04-2020","Não","455","09:00","09:25","25","""Luiz Eduardo Ramos, Ministro-Chefe da Secretaria de Governo da Presidência da República; e Augusto Heleno, Ministro-Chefe do Gabinete de Segurança Institucional da Presidência da República""","""Palácio do Planalto"""
"03-04-2020","Não","455","09:25","10:00","35","""Abraham Weintraub, Ministro de Estado da Educação""","""Palácio do Planalto"""
"03-04-2020","Não","455","10:00","11:10","70","""Ernesto Araújo, Ministro de Estado das Relações Exteriores; e Abraham Weintraub, Ministro de Estado da Educação""","""Palácio do Planalto"""
"03-04-2020","Não","455","11:10","11:30","20","""Wagner Rosário, Ministro de Estado da Controladoria-Geral da União""","""Palácio do Planalto"""
"03-04-2020","Não","455","11:30","12:00","30","""Bento Albuquerque, Ministro de Estado de Minas e Energia; e Alexandre Ramagem, Diretor-Geral da Agência Brasileira de Inteligência – ABIN""","""Palácio do Planalto"""
"03-04-2020","Não","455","12:00","13:15","75","""Guilherme Schelb, Procurador Regional da República do Distrito Federal; Jackson Di Domenico, Desembargador do Tribunal Regional Eleitoral do Distrito Federal; e JB Carvalho, Bispo da Comunidades das Nações""","""Palácio do Planalto"""
"03-04-2020","Não","455","14:00","14:50","50","""Braga Netto, Ministro-Chefe da Casa Civil da Presidência da República; Fernando Azevedo, Ministro de Estado da Defesa; Onyx Lorenzoni, Ministro de Estado da Cidadania; e Luiz Eduardo Ramos, Ministro-Chefe da Secretaria de Governo da Presidência da República""","""Palácio do Planalto"""
"03-04-2020","Não","455","15:00","16:00","60","""Braga Netto, Ministro-Chefe da Casa Civil da Presidência da República; Paulo Guedes, Ministro de Estado da Economia; Onyx Lorenzoni, Ministro de Estado da Cidadania; Luiz Eduardo Ramos, Ministro-Chefe da Secretaria de Governo da Presidência da República; Pedro Guimarães, Presidente da CAIXA; e Antônio Barra Torres, Diretor-Presidente Substituto da Agência Nacional de Vigilância Sanitária – ANVISA""","""Palácio do Planalto"""
"03-04-2020","Não","455","16:00","17:30","90","""Ernesto Araújo, Ministro de Estado das Relações Exteriores; Luiz Eduardo Ramos, Ministro-Chefe da Secretaria de Governo da Presidência da República; e Antônio Barra Torres, Diretor-Presidente Substituto da Agência Nacional de Vigilância Sanitária – ANVISA""","""Palácio do Planalto"""
