"DIA","SEM_COMPROMISSO","DURACAO_DIA","INICIO","FIM","DURACAO_COMPROMISSO","TITULO","LOCAL"
"11-07-2019","Não","-7905","08:00","00:10","-470","""Café da manhã com a Bancada da Frente Parlamentar Evangélica no Congresso Nacional""","""Palácio do Planalto"""
"11-07-2019","Não","-7905","10:00","00:10","-590","""Bento Albuquerque, Ministro de Estado de Minas e Energia; Deputada Greyce Elias (AVANTE/MG), Vice-Líder do AVANTE na Câmara dos Deputados; Deputado Zé Silva (SOLIDARIEDADE/MG); Deputado André Janones (AVANTE/MG); e Deputado Evair Vieira de Melo (PP/ES)""","""Palácio do Planalto"""
"11-07-2019","Não","-7905","10:45","00:10","-635","""Marcos Montes, Ministro de Estado da Agricultura, Pecuária e Abastecimento, em exercício; Deputada Tereza Cristina (DEM/MS); e Deputada Caroline De Toni (PSL/SC)""","""Palácio do Planalto"""
"11-07-2019","Não","-7905","11:15","00:10","-665","""Marcos Montes, Ministro de Estado da Agricultura, Pecuária e Abastecimento, em exercício; Senador Luis Carlos Heinze (PP/RS); e Deputada Tereza Cristina (DEM/MS)""","""Palácio do Planalto"""
"11-07-2019","Não","-7905","12:50","00:10","-760","""Luiz Antônio Nabhan Garcia, Secretário Especial de Assuntos Fundiários do Ministério da Agricultura, Pecuária e Abastecimento; e Marcelo Augusto Xavier, Delegado da Polícia Federal""","""Palácio do Planalto"""
"11-07-2019","Não","-7905","14:20","00:10","-850","""Osmar Terra, Ministro de Estado da Cidadania""","""Palácio do Planalto"""
"11-07-2019","Não","-7905","15:00","00:10","-890","""Karina Kufa, Advogada""","""Palácio do Planalto"""
"11-07-2019","Não","-7905","15:45","00:10","-935","""Marcos Pontes, Ministro de Estado da Ciência, Tecnologia, Inovações e Comunicações""","""Palácio do Planalto"""
"11-07-2019","Não","-7905","16:30","00:10","-980","""Solenidade de Posse do Diretor-Geral da ABIN, Alexandre Ramagem""","""Brasília/DF"""
"11-07-2019","Não","-7905","19:00","00:10","-1130","""Transmissão ao Vivo (Live) com Ernesto Araújo, Ministro de Estado das Relações Exteriores; Osmar Terra, Ministro de Estado da Cidadania; Deputado Jerônimo Goergen (PP/RS); e Paulo Uebel, Secretário Especial de Desburocratização, Gestão e Governo Digital do Ministério da Economia""","""Palácio da Alvorada"""
