"DIA","SEM_COMPROMISSO","DURACAO_DIA","INICIO","FIM","DURACAO_COMPROMISSO","TITULO","LOCAL"
"05-02-2020","Não","510","09:00","09:30","30","""Deputado Pastor Marco Feliciano (PODE/SP), Vice-Líder do Governo no Congresso Nacional""","""Palácio do Planalto"""
"05-02-2020","Não","510","09:30","10:00","30","""Onyx Lorenzoni, Ministro-Chefe da Casa Civil da Presidência da República""","""Palácio do Planalto"""
"05-02-2020","Não","510","10:00","11:00","60","""Paulo Guedes, Ministro de Estado da Economia; e Luiz Eduardo Ramos, Ministro-Chefe da Secretaria de Governo da Presidência da República""","""Palácio do Planalto"""
"05-02-2020","Não","510","11:00","11:30","30","""Sergio Moro, Ministro de Estado da Justiça e Segurança Pública""","""Palácio do Planalto"""
"05-02-2020","Não","510","12:00","14:00","120","""Hamilton Mourão, Vice-Presidente da República; Davi Alcolumbre, Presidente do Senado Federal; Rodrigo Maia, Presidente da Câmara dos Deputados; e José Antônio Dias Toffoli, Presidente do Supremo Tribunal Federal""","""Palácio da Alvorada"""
"05-02-2020","Não","510","15:30","16:00","30","""André Luiz de Almeida, Advogado-Geral da União""","""Palácio do Planalto"""
"05-02-2020","Não","510","16:00","17:00","60","""Solenidade Alusiva aos 400 dias de Governo""","""Palácio do Planalto"""
"05-02-2020","Não","510","17:15","17:45","30","""Jussara Soares, Jornalista""","""Palácio do Planalto"""
"05-02-2020","Não","510","17:40","18:15","35","""Alfredo Menezes, Superintendente da Zona Franca de Manaus – SUFRAMA; e Phelippe Daou Júnior, CEO do Grupo Rede Amazônica""","""Palácio do Planalto"""
"05-02-2020","Não","510","18:15","18:45","30","""Deputado Fábio Faria (PSD/RN)""","""Palácio do Planalto"""
"05-02-2020","Não","510","19:20","20:15","55","""Jorge Antonio de Oliveira, Ministro-Chefe da Secretaria-Geral da Presidência da República""","""Palácio da Alvorada"""
