"DIA","SEM_COMPROMISSO","DURACAO_DIA","INICIO","FIM","DURACAO_COMPROMISSO","TITULO","LOCAL"
"29-01-2021","Não","325","09:00","09:45","45","""Bento Albuquerque, Ministro de Estado de Minas e Energia""","""Palácio do Planalto"""
"29-01-2021","Não","325","10:00","10:50","50","""Senador Elmano Férrer (PP/PI), Vice-Líder do Governo no Senado Federal""","""Palácio do Planalto"""
"29-01-2021","Não","325","11:00","12:00","60","""Cerimônia de Lançamento dos Jogos Escolares Brasileiros - JEBs""","""Palácio do Planalto"""
"29-01-2021","Não","325","14:45","15:15","30","""Wagner Rosário, Ministro de Estado da Controladoria-Geral da União""","""Palácio do Planalto"""
"29-01-2021","Não","325","15:30","16:00","30","""Braga Netto, Ministro de Estado Chefe da Casa Civil da Presidência da República""","""Palácio do Planalto"""
"29-01-2021","Não","325","16:00","16:30","30","""Pedro Cesar Sousa, Ministro-Chefe da Secretaria-Geral da Presidência da República interino""","""Palácio do Planalto"""
"29-01-2021","Não","325","16:30","17:10","40","""Deputado Luis Miranda (DEM/DF)""","""Palácio do Planalto"""
"29-01-2021","Não","325","17:30","18:10","40","""Bento Albuquerque, Ministro de Estado de Minas e Energia""","""Palácio do Planalto"""
