"DIA","SEM_COMPROMISSO","DURACAO_DIA","INICIO","FIM","DURACAO_COMPROMISSO","TITULO","LOCAL"
"12-01-2021","Não","225","10:40","10:50","10","""Rogério Marinho, Ministro de Estado do Desenvolvimento Regional""","""Palácio do Planalto"""
"12-01-2021","Não","225","10:50","11:00","10","""Deputado Sanderson (PSL/RS)""","""Palácio do Planalto"""
"12-01-2021","Não","225","11:00","12:00","60","""Cerimônia alusiva aos 160 anos da CAIXA""","""Palácio do Planalto"""
"12-01-2021","Não","225","15:00","15:30","30","""Braga Netto, Ministro-Chefe da Casa Civil da Presidência da República; e Pedro Cesar Sousa, Ministro-Chefe da Secretaria-Geral da Presidência da República interino""","""Palácio do Planalto"""
"12-01-2021","Não","225","16:45","17:00","15","""Senador Confúcio Moura (MDB/RO), Presidente da Comissão Mista Parlamentar COVID19""","""Palácio do Planalto"""
"12-01-2021","Não","225","17:30","19:10","100","""Onyx Lorenzoni, Ministro de Estado da Cidadania""","""Palácio do Planalto"""
