"DIA","SEM_COMPROMISSO","DURACAO_DIA","INICIO","FIM","DURACAO_COMPROMISSO","TITULO","LOCAL"
"05-01-2021","Não","295","09:25","10:00","35","""Fábio Faria, Ministro de Estado das Comunicações""","""Palácio do Planalto"""
"05-01-2021","Não","295","10:00","11:00","60","""Fernando Azevedo, Ministro de Estado da Defesa""","""Palácio do Planalto"""
"05-01-2021","Não","295","11:00","11:25","25","""Braga Netto, Ministro-Chefe da Casa Civil da Presidência da República""","""Palácio do Planalto"""
"05-01-2021","Não","295","14:30","15:10","40","""Pedro Guimarães, Presidente da CAIXA""","""Palácio do Planalto"""
"05-01-2021","Não","295","15:10","15:45","35","""Pedro Cesar Nunes Ferreira Marques de Sousa, Ministro-Chefe da Secretaria-Geral da Presidência da República interino""","""Palácio do Planalto"""
"05-01-2021","Não","295","16:00","17:40","100","""Visita técnica ao Ministério da Saúde""","""Brasília/DF"""
