"DIA","SEM_COMPROMISSO","DURACAO_DIA","INICIO","FIM","DURACAO_COMPROMISSO","TITULO","LOCAL"
"07-01-2021","Não","225","09:00","09:35","35","""Onyx Lorenzoni, Ministro de Estado da Cidadania""","""Palácio do Planalto"""
"07-01-2021","Não","225","09:45","11:15","90","""Gilson Machado, Ministro de Estado do Turismo""","""Palácio do Planalto"""
"07-01-2021","Não","225","14:25","14:55","30","""Pedro Cesar Nunes Ferreira Marques de Sousa, Ministro-Chefe da Secretaria-Geral da Presidência da República interino""","""Palácio do Planalto"""
"07-01-2021","Não","225","15:00","15:50","50","""Cerimônia de Apresentação de Cartas Credenciais dos novos Embaixadores""","""Palácio do Planalto"""
"07-01-2021","Não","225","16:10","16:30","20","""Yossi Shelley, Embaixador de Israel no Brasil""","""Palácio do Planalto"""
