"DIA","SEM_COMPROMISSO","DURACAO_DIA","INICIO","FIM","DURACAO_COMPROMISSO","TITULO","LOCAL"
"16-09-2020","Não","460","08:00","08:45","45","""Rogério Marinho, Ministro de Estado do Desenvolvimento Regional; Luiz Eduardo Ramos, Ministro-Chefe da Secretaria de Governo da Presidência da República; e Senador Márcio Bittar (MDB/AC), Vice-Líder do Governo no Congresso Nacional""","""Palácio da Alvorada"""
"16-09-2020","Não","460","09:00","11:30","150","""Ernesto Araújo, Ministro de Estado das Relações Exteriores""","""Palácio do Planalto"""
"16-09-2020","Não","460","11:30","11:50","20","""Luiz Eduardo Ramos, Ministro-Chefe da Secretaria de Governo da Presidência da República; e José Levi Mello do Amaral Júnior, Advogado-Geral da União""","""Palácio do Planalto"""
"16-09-2020","Não","460","12:00","13:00","60","""Deputado Fábio Ramalho (MDB/MG), Vice-Líder do MDB na Câmara dos Deputados""","""Palácio do Planalto"""
"16-09-2020","Não","460","14:30","16:00","90","""Paulo Skaf, Presidente da FIESP – Federação das Indústrias do Estado de São Paulo e do CIESP – Centro das Indústrias do Estado de São Paulo""","""Palácio do Planalto"""
"16-09-2020","Não","460","16:25","16:40","15","""Eduardo Pazuello, Ministro de Estado da Saúde; e Deputado Osmar Terra (MDB/RS)""","""Palácio do Planalto"""
"16-09-2020","Não","460","16:40","17:00","20","""Onyx Lorenzoni, Ministro Estado da Cidadania""","""Palácio do Planalto"""
"16-09-2020","Não","460","17:00","18:00","60","""Cerimônia de Posse do senhor Eduardo Pazuello, Ministro de Estado da Saúde""","""Palácio do Planalto"""
