"DIA","SEM_COMPROMISSO","DURACAO_DIA","INICIO","FIM","DURACAO_COMPROMISSO","TITULO","LOCAL"
"29-09-2020","Não","255","09:20","10:15","55","""Augusto Heleno, Ministro-Chefe do Gabinete de Segurança Institucional da Presidência da República""","""Palácio do Planalto"""
"29-09-2020","Não","255","10:20","10:30","10","""Braga Netto, Ministro-Chefe da Casa Civil da Presidência da República; e Luiz Eduardo Ramos, Ministro-Chefe da Secretaria de Governo da Presidência da República""","""Palácio do Planalto"""
"29-09-2020","Não","255","13:50","14:05","15","""Pedro Guimarães, Presidente da CAIXA""","""Palácio do Planalto"""
"29-09-2020","Não","255","14:10","15:10","60","""Davi Alcolumbre, Presidente do Senado Federal""","""Palácio do Planalto"""
"29-09-2020","Não","255","15:15","15:45","30","""Braga Netto, Ministro-Chefe da Casa Civil da Presidência da República""","""Palácio do Planalto"""
"29-09-2020","Não","255","15:55","16:25","30","""Braga Netto, Ministro-Chefe da Casa Civil da Presidência da República; Paulo Guedes, Ministro de Estado da Economia; Fábio Faria, Ministro de Estado das Comunicações; Luiz Eduardo Ramos, Ministro-Chefe da Secretaria de Governo da Presidência da República; Roberto Campos Neto, Presidente do Banco Central; e Gustavo Montezano, Presidente do Banco Nacional de Desenvolvimento Econômico e Social – BNDES""","""Palácio do Planalto"""
"29-09-2020","Não","255","17:10","17:55","45","""Cerimônia de Sanção do Projeto de Lei 1.095/2019""","""Palácio do Planalto"""
"29-09-2020","Não","255","18:00","18:10","10","""Jorge Antonio de Oliveira, Ministro-Chefe da Secretaria-Geral da Presidência da República; e José Levi Mello do Amaral Júnior, Advogado-Geral da União""","""Palácio do Planalto"""
