"DIA","SEM_COMPROMISSO","DURACAO_DIA","INICIO","FIM","DURACAO_COMPROMISSO","TITULO","LOCAL"
"03-09-2020","Não","270","07:00","10:10","190","""Partida de Brasília/DF para Pariquera-Açu/SP""","""Base Aérea de Brasília"""
"03-09-2020","Não","270","10:30","11:10","40","""Apresentação de Projeto da Ponte sobre o Rio Pariquera-Açu""","""Pariquera-Açu/SP"""
"03-09-2020","Não","270","11:30","11:40","10","""Partida de Pariquera-Açu/SP para Eldorado/SP""","""Pariquera-Açu/SP"""
"03-09-2020","Não","270","12:00","12:30","30","""Apresentação do Projeto da Ponte de acesso ao Bairro Boa Esperança e ao Quilombo São Pedro""","""Eldorado/SP"""
