"DIA","SEM_COMPROMISSO","DURACAO_DIA","INICIO","FIM","DURACAO_COMPROMISSO","TITULO","LOCAL"
"13-03-2020","Não","135","16:35","17:15","40","""Fernando Azevedo, Ministro de Estado da Defesa""","""Palácio da Alvorada"""
"13-03-2020","Não","135","17:15","18:15","60","""Abraham Weintraub, Ministro de Estado da Educação; e Alexandre Barreto de Souza, Presidente do Conselho Administrativo de Defesa Econômica – CADE""","""Palácio da Alvorada"""
"13-03-2020","Não","135","18:30","19:05","35","""Jorge Antonio de Oliveira, Ministro-Chefe da Secretaria-Geral da Presidência da República""","""Palácio da Alvorada"""
