"DIA","SEM_COMPROMISSO","DURACAO_DIA","INICIO","FIM","DURACAO_COMPROMISSO","TITULO","LOCAL"
"06-03-2020","Não","455","08:40","09:00","20","""Braga Netto, Ministro-Chefe da Casa Civil da Presidência da República; Luiz Henrique Mandetta, Ministro de Estado da Saúde; Luiz Eduardo Ramos, Ministro-Chefe da Secretaria de Governo da Presidência da República; e Augusto Heleno, Ministro-Chefe do Gabinete de Segurança Institucional da Presidência da República""","""Palácio do Planalto"""
"06-03-2020","Não","455","09:00","09:35","35","""Braga Netto, Ministro-Chefe da Casa Civil da Presidência da República; Abraham Weintraub, Ministro de Estado da Educação; Luiz Eduardo Ramos, Ministro-Chefe da Secretaria de Governo da Presidência da República; e Augusto Heleno, Ministro-Chefe do Gabinete de Segurança Institucional da Presidência da República""","""Palácio do Planalto"""
"06-03-2020","Não","455","09:35","10:00","25","""Augusto Heleno, Ministro-Chefe do Gabinete de Segurança Institucional da Presidência da República; e Alexandre Ramagem, Diretor-Geral da Agência Brasileira de Inteligência – ABIN""","""Palácio do Planalto"""
"06-03-2020","Não","455","10:00","10:25","25","""Onyx Lorenzoni, Ministro de Estado da Cidadania; e Jorge Antonio de Oliveira, Ministro-Chefe da Secretaria-Geral da Presidência da República""","""Palácio do Planalto"""
"06-03-2020","Não","455","10:25","10:50","25","""Luiz Eduardo Ramos, Ministro-Chefe da Secretaria de Governo da Presidência da República; Augusto Heleno, Ministro-Chefe do Gabinete de Segurança Institucional da Presidência da República; e Deputado Vitor Hugo (PSL/GO), Líder do Governo na Câmara dos Deputados""","""Palácio do Planalto"""
"06-03-2020","Não","455","11:00","11:30","30","""Augusto Heleno, Ministro-Chefe do Gabinete de Segurança Institucional da Presidência da República""","""Palácio do Planalto"""
"06-03-2020","Não","455","11:30","12:00","30","""Jorge Antonio de Oliveira, Ministro-Chefe da Secretaria-Geral da Presidência da República""","""Palácio do Planalto"""
"06-03-2020","Não","455","12:10","12:50","40","""Jorge Antonio de Oliveira, Ministro-Chefe da Secretaria-Geral da Presidência da República; e Pastor Josué Valandro Jr., Presidente da Igreja Batista Atitude""","""Palácio do Planalto"""
"06-03-2020","Não","455","13:15","14:50","95","""Braga Netto, Ministro-Chefe da Casa Civil da Presidência da República; e Luiz Eduardo Ramos, Ministro-Chefe da Secretaria de Governo da Presidência da República""","""Palácio do Planalto"""
"06-03-2020","Não","455","15:00","16:00","60","""Cerimônia Alusiva ao Dia Internacional da Mulher""","""Palácio do Planalto"""
"06-03-2020","Não","455","16:15","17:25","70","""Luiz Henrique Mandetta, Ministro de Estado da Saúde; Luiz Eduardo Ramos, Ministro-Chefe da Secretaria de Governo da Presidência da República; e Augusto Heleno, Ministro-Chefe do Gabinete de Segurança Institucional da Presidência da República""","""Palácio do Planalto"""
