"DIA","SEM_COMPROMISSO","DURACAO_DIA","INICIO","FIM","DURACAO_COMPROMISSO","TITULO","LOCAL"
"13-03-2019","Não","434","08:30","09:30","60","""Café da Manhã com Jornalistas""","""Palácio do Planalto"""
"13-03-2019","Não","434","09:30","10:25","55","""Luiz Carlos Hauly (PSDB/PR), Ex-Deputado Federal e Marcos Cintra, Secretário da Receita Federal""","""Palácio do Planalto"""
"13-03-2019","Não","434","10:30","11:00","30","""Paulo Guedes, Ministro de Estado da Economia; Ana Botín, Presidente Mundial do Santander; Sérgio Rial, Presidente do Santander Brasil, e Patricia Audi, Vice-Presidente de Comunicação, Marketing, Relações Institucionais e Sustentabilidade do Santander Brasil""","""Palácio do Planalto"""
"13-03-2019","Não","434","12:00","13:00","60","""Fernando Azevedo, Ministro de Estado da Defesa""","""Palácio do Planalto"""
"13-03-2019","Não","434","13:45","14:00","15","""Ernesto Araújo, Ministro de Estado das Relações Exteriores; Deputado Luiz Nishimori (PR/PR), e Ministra Cecília Ishitani, Diretora do Departamento de Japão e Pacífico do Ministério das Relações Exteriores""","""Palácio do Planalto"""
"13-03-2019","Não","434","14:40","15:10","30","""Deputado Paulo Eduardo Martins (PSC/PR) e Ratinho, Apresentador do SBT""","""Palácio do Planalto"""
"13-03-2019","Não","434","15:10","15:40","30","""Deputado João Campos (PRB/GO)""","""Palácio do Planalto"""
"13-03-2019","Não","434","15:40","16:20","40","""Deputado Major Vitor Hugo (PSL/GO), Líder do Governo na Câmara; Deputado Ricardo Izar (PP/SP) e Deputado Fausto Pinato (PP/SP)""","""Palácio do Planalto"""
"13-03-2019","Não","434","16:30","17:15","45","""Joaquim Levy, Presidente do BNDES""","""Palácio do Planalto"""
"13-03-2019","Não","434","17:00","17:09","9","""Romero Rodrigues, Prefeito do Município de Campina Grande/PB""","""Palácio do Planalto"""
"13-03-2019","Não","434","17:40","18:10","30","""Gutemberg de Paula Fonseca, Secretário de Governo e Relações Institucionais do estado do Rio de Janeiro""","""Palácio do Planalto"""
"13-03-2019","Não","434","18:20","18:50","30","""Deputado Major Vitor Hugo (PSL/GO), Líder do Governo na Câmara; Deputado José Medeiros (PODE/MT), Vice-líder do Governo na Câmara; Deputado Carlos Jordy (PSL/RJ), Vice-líder do Governo na Câmara, e Deputado Lucas Vergilio, Vice-líder do Governo na Câmara (SOLIDARIEDADE/GO)""","""Palácio do Planalto"""
