"DIA","SEM_COMPROMISSO","DURACAO_DIA","INICIO","FIM","DURACAO_COMPROMISSO","TITULO","LOCAL"
"22-03-2019","Não","230","11:20","11:30","10","""Cerimônia de Boas-Vindas aos Chefes de Estado e de Governo e Fotografia Oficial""","""Santiago/Chile"""
"22-03-2019","Não","230","11:30","12:15","45","""Primeira Sessão do Diálogo para Coordenação e Colaboração na América do Sul""","""Santiago/Chile"""
"22-03-2019","Não","230","12:30","13:00","30","""Segunda Sessão do Diálogo para Coordenação e Colaboração na América do Sul""","""Santiago/Chile"""
"22-03-2019","Não","230","13:05","13:35","30","""Declaração conjunta à imprensa""","""Santiago/Chile"""
"22-03-2019","Não","230","13:45","15:00","75","""Almoço Oficial oferecido pelo Presidente do Chile em homenagem aos Chefes de Estado e de Governo que participam da Cúpula Presidencial sobre Integração Sul-Americana""","""Santiago/Chile"""
"22-03-2019","Não","230","16:30","17:10","40","""Entrevista à TV chilena TVN""","""Santiago/Chile"""
