"DIA","SEM_COMPROMISSO","DURACAO_DIA","INICIO","FIM","DURACAO_COMPROMISSO","TITULO","LOCAL"
"10-08-2020","Não","190","10:00","10:10","10","""Telefonema - Mohammad bin Salman Al Saud, Príncipe Herdeiro da Arábia Saudita""","""Palácio do Planalto"""
"10-08-2020","Não","190","11:00","11:45","45","""José Levi Mello do Amaral Júnior, Advogado-Geral da União""","""Palácio do Planalto"""
"10-08-2020","Não","190","14:00","15:15","75","""Paulo Guedes, Ministro de Estado da Economia""","""Palácio do Planalto"""
"10-08-2020","Não","190","15:20","15:50","30","""Bento Albuquerque, Ministro de Estado de Minas e Energia; e João Augusto Nardes, Ministro do Tribunal de Contas da União""","""Palácio do Planalto"""
"10-08-2020","Não","190","16:00","16:30","30","""Tarcísio Gomes de Freitas, Ministro de Estado da Infraestrutura""","""Palácio do Planalto"""
