"DIA","SEM_COMPROMISSO","DURACAO_DIA","INICIO","FIM","DURACAO_COMPROMISSO","TITULO","LOCAL"
"14-05-2021","Não","245","09:00","09:20","20","""Partida de Brasília/DF para Campo Grande/MS""","""Base Aérea de Brasília"""
"14-05-2021","Não","245","10:30","11:30","60","""Cerimônia de Entrega de Títulos de Propriedade Rural no Estado do Mato Grosso do Sul""","""Terenos/MS"""
"14-05-2021","Não","245","14:00","16:20","140","""Partida de Campo Grande/MS para Brasília/DF""","""Base Aérea de Campo Grande"""
"14-05-2021","Não","245","16:20","16:45","25","""Pedro Cesar Sousa, Subchefe para Assuntos Jurídicos da Secretaria-Geral da Presidência da República""","""Base Aérea de Brasília"""
